nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-12-19 16:04:20 /dashboard/manufacturer/production/analytics  ~ 500.39ms
  2025-12-19 16:05:09 /analyze/ .................................... ~ 0.13ms
  2025-12-19 16:05:09 /analyze/ .................................... ~ 0.04ms
  2025-12-19 16:05:09 /analyze/ .................................... ~ 0.10ms
  2025-12-19 16:07:26 /analyze/ .................................... ~ 0.17ms
  2025-12-19 16:07:30 /analyze/ .................................... ~ 0.12ms
  2025-12-19 16:07:34 /analyze/ .................................... ~ 0.20ms
  2025-12-19 16:07:37 /analyze/ .................................... ~ 0.16ms
  2025-12-19 16:07:43 /manufacturer/production-analytics ........... ~ 0.14ms
  2025-12-19 16:34:11 /analyze/ .................................... ~ 0.16ms
  2025-12-19 16:37:06 /analyze/ .................................... ~ 0.11ms
